angle_of_attack,angle_of_attack_degs,average
0.0,0,-0.69
0.2617993877991494,15,-0.73
0.5235987755982988,30,-0.69
0.7853981633974483,45,-0.34
0.8726646259971648,50,-0.24
1.0471975511965976,60,-0.26
1.3089969389957472,75,0.0
1.4835298641951802,85,0.19
1.5707963267948966,90,0.04
1.6580627893946132,95,-0.03
1.7453292519943295,100,-0.04
1.9198621771937625,110,0.1
2.0943951023931953,120,0.24
2.443460952792061,140,0.57
2.705260340591211,155,0.84
2.792526803190927,160,0.82
2.9670597283903604,170,0.73
3.141592653589793,180,0.67
