angle_of_attack,angle_of_attack_degs,cx_conventional_bow_ballast,cx_conventional_bow_laden,cx_spherical_bow_ballast
0.0,0,-0.86,-0.96,-0.86
0.17453292519943295,10,-0.76,-0.93,-0.75
0.3490658503988659,20,-0.62,-0.85,-0.62
0.5235987755982988,30,-0.45,-0.73,-0.45
0.6981317007977318,40,-0.32,-0.62,-0.27
0.8726646259971648,50,-0.21,-0.47,0.0
1.0471975511965976,60,-0.13,-0.34,0.31
1.2217304763960306,70,-0.06,-0.17,0.47
1.3962634015954636,80,-0.04,-0.06,0.48
1.5707963267948966,90,0.02,0.05,0.29
1.7453292519943295,100,0.08,0.14,0.18
1.9198621771937625,110,0.19,0.22,0.18
2.0943951023931953,120,0.29, ,0.29
2.2689280275926285,130,0.38,0.4,0.37
2.443460952792061,140,0.47,0.53,0.47
2.6179938779914944,150,0.56,0.66,0.56
2.792526803190927,160,0.61,0.75,0.61
2.9670597283903604,170,0.66,0.79,0.65
3.141592653589793,180,0.63,0.77,0.63
