angle_of_attack,angle_of_attack_degs,heavy_ballast_no_cranes,ballast_no_cranes,heavy_ballast_cranes,ballast_cranes
0.0,0,-0.68,-0.59,-0.75,-0.71
0.17453292519943295,10,-0.67,-0.63,-0.91,-0.84
0.3490658503988659,20,-0.66,-0.56,-0.94,-0.89
0.5235987755982988,30,-0.62,-0.55,-0.87,-0.82
0.6981317007977318,40,-0.58,-0.5,-0.8,-0.7
0.8726646259971648,50,-0.45,-0.36,-0.59,-0.49
1.0471975511965976,60,-0.31,-0.21,-0.34,-0.23
1.2217304763960306,70,-0.13,-0.06,-0.18,-0.12
1.3962634015954636,80,-0.1,0.01,0.02,0.01
1.5707963267948966,90,-0.13,0.0,0.11,-0.02
1.7453292519943295,100,-0.05,0.02,0.1,0.02
1.9198621771937625,110,0.08,0.04,0.22,0.12
2.0943951023931953,120,0.21,0.09,0.44,0.36
2.2689280275926285,130,0.39,0.28,0.65,0.55
2.443460952792061,140,0.57,0.44,0.78,0.71
2.6179938779914944,150,0.65,0.56,0.81,0.76
2.792526803190927,160,0.71,0.61,0.85,0.79
2.9670597283903604,170,0.71,0.64,0.82,0.8
3.141592653589793,180,0.8,0.64,0.7,0.68
