angle_of_attack,angle_of_attack_degs,with_partial_containers,with_containers
0.0,0,-0.81,-0.84
0.2617993877991494,15,-0.76,-0.93
0.5235987755982988,30,-0.71,-0.96
0.7853981633974483,45,-0.59,-0.76
1.0471975511965976,60,-0.47,-0.52
1.3089969389957472,75,-0.22,-0.33
1.5707963267948966,90,0.04,-0.14
1.8325957145940461,105,0.44,0.23
2.0943951023931953,120,0.83,0.64
2.356194490192345,135,0.92,0.81
2.6179938779914944,150,1.0,0.97
2.8797932657906435,165,0.94,0.81
3.141592653589793,180,0.89,0.62
2.2689280275926285,130,-0.81,-0.84
2.443460952792061,140,-0.76,-0.93
2.6179938779914944,150,-0.71,-0.96
2.792526803190927,160,-0.59,-0.76
2.9670597283903604,170,-0.47,-0.52
3.141592653589793,180,-0.22,-0.33
